iter	Passed	Remaining
684	806	371
685	807	369
686	808	368
687	809	366
688	810	365
689	811	364
690	811	363
691	812	361
692	813	360
693	814	358
694	814	357
695	815	356
696	816	354
697	817	353
698	818	352
699	819	351
700	819	349
701	820	348
702	821	346
703	821	345
704	822	344
705	823	342
706	823	341
707	825	340
708	826	339
709	827	337
710	827	336
711	828	335
712	829	333
713	829	332
714	830	330
715	831	329
716	831	328
717	833	327
718	833	325
719	834	324
720	835	323
721	836	321
722	836	320
723	837	319
724	838	317
725	839	316
726	840	315
727	841	314
728	842	313
729	843	311
730	843	310
731	844	309
732	845	307
733	846	306
734	849	306
735	850	304
736	850	303
737	851	302
738	852	301
739	853	299
740	855	299
741	856	297
742	857	296
743	858	295
744	859	294
745	859	292
746	860	291
747	861	290
748	862	289
749	863	287
750	864	286
751	865	285
752	866	284
753	867	282
754	870	282
755	871	281
756	871	279
757	872	278
758	873	277
759	874	276
760	875	274
761	876	273
762	877	272
763	878	271
764	879	270
765	879	268
766	880	267
767	881	266
768	882	265
769	883	263
770	884	262
771	885	261
772	885	260
773	886	258
774	887	257
775	888	256
776	889	255
777	892	254
778	893	253
779	894	252
780	895	251
781	895	249
782	896	248
783	898	247
784	899	246
785	900	245
786	901	243
787	901	242
788	902	241
789	903	240
790	904	238
791	905	237
792	907	236
793	907	235
794	908	234
795	909	233
796	910	231
797	910	230
798	911	229
799	912	228
800	913	227
801	914	225
802	915	224
803	916	223
804	917	222
805	919	221
806	920	220
807	921	218
808	921	217
809	922	216
810	923	215
811	924	213
812	924	212
813	927	212
814	928	210
815	930	209
816	931	208
817	932	207
818	935	206
819	936	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	943	195
828	944	194
829	945	193
830	945	192
831	946	191
832	947	189
833	949	188
834	950	187
835	951	186
836	952	185
837	952	184
838	953	182
839	954	181
840	954	180
841	956	179
842	957	178
843	958	177
844	959	176
845	960	174
846	961	173
847	961	172
848	962	171
849	963	170
850	964	168
851	965	167
852	966	166
853	967	165
854	967	164
855	968	162
856	969	161
857	969	160
858	971	159
859	972	158
860	973	157
861	974	155
862	975	154
863	976	153
864	977	152
865	979	151
866	980	150
867	981	149
868	981	148
869	982	146
870	983	145
871	984	144
872	984	143
873	985	142
874	987	141
875	988	139
876	989	138
877	989	137
878	990	136
879	991	135
880	991	133
881	992	132
882	995	131
883	996	130
884	997	129
885	998	128
886	999	127
887	1003	126
888	1004	125
889	1005	124
890	1005	123
891	1008	122
892	1010	121
893	1012	120
894	1013	118
895	1014	117
896	1016	116
897	1017	115
898	1018	114
899	1019	113
900	1019	112
901	1020	110
902	1021	109
903	1022	108
904	1024	107
905	1025	106
906	1026	105
907	1026	104
908	1028	102
909	1029	101
910	1029	100
911	1031	99
912	1032	98
913	1033	97
914	1034	96
915	1034	94
916	1035	93
917	1036	92
918	1037	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1043	85
924	1044	84
925	1047	83
926	1048	82
927	1050	81
928	1051	80
929	1057	79
930	1058	78
931	1059	77
932	1060	76
933	1063	75
934	1064	74
935	1065	72
936	1066	71
937	1067	70
938	1068	69
939	1069	68
940	1070	67
941	1071	65
942	1072	64
943	1073	63
944	1074	62
945	1075	61
946	1076	60
947	1077	59
948	1078	57
949	1079	56
950	1079	55
951	1083	54
952	1084	53
953	1085	52
954	1086	51
955	1087	50
956	1087	48
957	1088	47
958	1090	46
959	1091	45
960	1091	44
961	1092	43
962	1093	42
963	1094	40
964	1095	39
965	1096	38
966	1098	37
967	1100	36
968	1101	35
969	1102	34
970	1104	32
971	1107	31
972	1108	30
973	1109	29
974	1110	28
975	1113	27
976	1114	26
977	1115	25
978	1116	23
979	1116	22
980	1118	21
981	1120	20
982	1121	19
983	1122	18
984	1122	17
985	1124	15
986	1124	14
987	1126	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1132	7
993	1133	6
994	1135	5
995	1136	4
996	1137	3
997	1137	2
998	1138	1
999	1139	0
